season,total_matches,teams_count,total_goals,avg_goals_per_match,home_wins,away_wins,draws,home_win_pct,away_win_pct,draw_pct,highest_scoring_match
2024,380,20,1115,2.93,155,132,93,40.79,34.74,24.47,9
2023,380,20,1246,3.28,175,123,82,46.05,32.37,21.58,8
2022,380,20,1084,2.85,184,109,87,48.42,28.68,22.89,9
2021,380,20,1071,2.82,163,129,88,42.89,33.95,23.16,9
2020,380,20,1024,2.69,144,153,83,37.89,40.26,21.84,9
2019,380,20,1034,2.72,172,116,92,45.26,30.53,24.21,9
2018,380,20,1072,2.82,181,128,71,47.63,33.68,18.68,8
2017,380,20,1018,2.68,173,108,99,45.53,28.42,26.05,9
2016,380,20,1064,2.8,187,109,84,49.21,28.68,22.11,9
2015,380,20,1026,2.7,157,116,107,41.32,30.53,28.16,9
